maaling nr.,hoyde (laser),hoyde (maalebaand)
1, 227.0, 226.0
2, 226.0, 225.5
3, 228.0, 226.0
4, 227.5, 225.0
5, 228.0, 223.5 
6, 226.5, 225.5
7, 226.5, 222.5
8, 229.0, 223.5
9, 225.5, 225.0
10, 227.0, 225.0
11, 226.5, 222.0
12, 228.0, 222.5
13, 227.5, 223.5
14, 227.0, 223.0
15, 227.0, 221.5
16, 226.5, 223.5
17, 225.5, 222.0
18, 228.0, 222.5
19, 227.0, 223.5
20, 226.5, 224.0
21, 227.5, 224.0
22, 228.0, 224.5
23, 226.5, 223.5
24, 226.5, 225.0
25, 226.0, 222.5 
26, 228.0, 223.0
27, 227.5, 223.0
28, 228.0, 224.0
29, 226.5, 222.0
30, 229.0, 221.5
31, 228.0, 223.5
32, 229.0, 224.5 
33, 227.5, 224.0
34, 227.0, 225.0
35, 226.5, 223.0
36, 227.0, 225.0
37, 228.0, 223.5
38, 226.5, 224.0
39, 227.0, 223.5
40, 227.5, 224.0
41, 228.0, 222.5
42, 227.0, 223.5
43, 227.0, 223.0
44, 228.0, 222.0
45, 226.5, 224.0
46, 227.5, 222.5
47, 227.0, 222.5
48, 226.5, 225.0
49, 228.0, 224.0
50, 226.5, 223.5
